ITEM,ID,EDP,Component,Group,Quantity,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,B_104_1_31b,IDR,S,1,10,0.0175,0.0225,0.0322,0,0,0.4,0.4,0.4,0,0,5785.4,8773.172866,10798.87315,0,0,0.4,0.3,0.3,0,0,,,,,
2,B_201_3,IDR,S,1,15,0.001,0.003,0.0075,0.0175,0,0.5,0.5,0.4,0.35,0,176.73,372.0631579,1767.3,1785.903158,0,0.22,0.44,0.44,0.52,0,,,,,
3,C_101_21,IDR,S,1,27,0.001,0.003,0.0075,0,0,0.5,0.5,0.4,0,0,54,102,420,0,0,0.22,0.44,0.44,0,0,,,,,
4,D_202,IDR,S,1,12,0.002,0.005,0,0,0,0.5,0.5,0,0,0,126,180,0,0,0,0.6488,0.4695,0,0,0,,,,,
5,D_50_1,IDR,S,1,60,0.5,0,0,0,0,0.5,0,0,0,0,50,0,0,0,0,0.6,0,0,0,0,,,,,
