ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
,,PSD,S,1,26,3,0.0075,0.0125,0.02,,,0.4,0.4,0.4,,,1284,2155,2895,,,0.1,0.1,0.1,,,,,,,
,,PSD,S,1,15,3,0.0065,0.0175,0.03,,,0.4,0.35,0.3,,,1806.3,2933.3,4600,,,0.1,0.1,0.1,,,,,,,
,,PSD,S,1,127.7688,4,0.001,0.003,0.0075,0.0175,,0.5,0.5,0.4,0.35,,74.18,117,234,234.43,,0.1,0.1,0.1,0.1,,,,,,
,,PSD,NS,2,65.9,3,0.0015,0.004,0.01,,,0.5,0.5,0.4,,,85.7,140.8,234,,,0.1,0.1,0.1,,,,,,,
,,PSD,NS,2,1,3,0.005,0.017,0.028,,,0.6,0.6,0.45,,,1110.2,5868.2,36399,,,0.1,0.1,0.1,,,,,,,
,,PSD,NS,2,335.3,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,33.382,62.025,124.05,124.05,,0.1,0.1,0.1,0.1,,,,,,
,,PSD,NS,2,65.876,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,85.448,74.69,234.43,234.43,,0.1,0.1,0.1,0.1,,,,,,
